Votes,Score,English_Name,Favourites_count,Popularity_ranking
44193,6,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,,55
18838,5,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,,55
8570,4,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,,55
3583,3,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,,55
1782,2,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,,55
2252,1,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,,55
233849,10,Violet Evergarden,,56
211445,9,Violet Evergarden,,56
163240,8,Violet Evergarden,,56
75657,7,Violet Evergarden,,56
29674,6,Violet Evergarden,,56
13381,5,Violet Evergarden,,56
5836,4,Violet Evergarden,,56
2169,3,Violet Evergarden,,56
1043,2,Violet Evergarden,,56
1809,1,Violet Evergarden,,56
360749,10,Shingeki no Kyojin: The Final Season,,57
272472,9,Shingeki no Kyojin: The Final Season,,57
146535,8,Shingeki no Kyojin: The Final Season,,57
55601,7,Shingeki no Kyojin: The Final Season,,57
18306,6,Shingeki no Kyojin: The Final Season,,57
7132,5,Shingeki no Kyojin: The Final Season,,57
3725,4,Shingeki no Kyojin: The Final Season,,57
1652,3,Shingeki no Kyojin: The Final Season,,57
1383,2,Shingeki no Kyojin: The Final Season,,57
14155,1,Shingeki no Kyojin: The Final Season,,57
107234,10,Elfen Lied,21792,58
135180,9,Elfen Lied,21792,58
188341,8,Elfen Lied,21792,58
171447,7,Elfen Lied,21792,58
87399,6,Elfen Lied,21792,58
41857,5,Elfen Lied,21792,58
24682,4,Elfen Lied,21792,58
12581,3,Elfen Lied,21792,58
8220,2,Elfen Lied,21792,58
6196,1,Elfen Lied,21792,58
113348,10,Boku no Hero Academia 4th Season,,59
187293,9,Boku no Hero Academia 4th Season,,59
258113,8,Boku no Hero Academia 4th Season,,59
160064,7,Boku no Hero Academia 4th Season,,59
58383,6,Boku no Hero Academia 4th Season,,59
23022,5,Boku no Hero Academia 4th Season,,59
8939,4,Boku no Hero Academia 4th Season,,59
3240,3,Boku no Hero Academia 4th Season,,59
1493,2,Boku no Hero Academia 4th Season,,59
2139,1,Boku no Hero Academia 4th Season,,59
160892,10,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,,60
239660,9,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,,60
239598,8,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,,60
118677,7,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,,60
41665,6,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,,60
18477,5,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,,60
8159,4,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,,60
3560,3,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,,60
1889,2,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,,60
2273,1,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,,60
111418,10,Charlotte,,61
151067,9,Charlotte,,61
224871,8,Charlotte,,61
178475,7,Charlotte,,61
77302,6,Charlotte,,61
34061,5,Charlotte,,61
16343,4,Charlotte,,61
7607,3,Charlotte,,61
3174,2,Charlotte,,61
2168,1,Charlotte,,61
134416,10,Fullmetal Alchemist,23847,62
192848,9,Fullmetal Alchemist,23847,62
236995,8,Fullmetal Alchemist,23847,62
153668,7,Fullmetal Alchemist,23847,62
51705,6,Fullmetal Alchemist,23847,62
18883,5,Fullmetal Alchemist,23847,62
6841,4,Fullmetal Alchemist,23847,62
2071,3,Fullmetal Alchemist,23847,62
1140,2,Fullmetal Alchemist,23847,62
1475,1,Fullmetal Alchemist,23847,62
126068,10,Dr. Stone,,63
221798,9,Dr. Stone,,63
263127,8,Dr. Stone,,63
122256,7,Dr. Stone,,63
33115,6,Dr. Stone,,63
12759,5,Dr. Stone,,63
5153,4,Dr. Stone,,63
1927,3,Dr. Stone,,63
997,2,Dr. Stone,,63
1169,1,Dr. Stone,,63
104430,10,Darling in the FranXX,,64
110426,9,Darling in the FranXX,,64
168772,8,Darling in the FranXX,,64
182943,7,Darling in the FranXX,,64
108373,6,Darling in the FranXX,,64
56012,5,Darling in the FranXX,,64
35872,4,Darling in the FranXX,,64
17558,3,Darling in the FranXX,,64
10180,2,Darling in the FranXX,,64
10573,1,Darling in the FranXX,,64
63482,10,One Punch Man 2nd Season,,65
103203,9,One Punch Man 2nd Season,,65
201171,8,One Punch Man 2nd Season,,65
217545,7,One Punch Man 2nd Season,,65
